Subject,Predicate,Object
Monty Python and the Holy Grail,HAS_DIRECTOR,Terry Gilliam
Monty Python and the Holy Grail,HAS_WRITER,Terry Gilliam
I Love You Phillip Morris,HAS_GENRE,Comedy
I Love You Phillip Morris,HAS_GENRE,Crime
I Love You Phillip Morris,HAS_GENRE,Drama
I Love You Phillip Morris,HAS_GENRE,Romance
I Love You Phillip Morris,HAS_CAST,Jim Carrey
I Love You Phillip Morris,HAS_CAST,Leslie Mann
The Naked Gun,HAS_GENRE,Comedy
The Naked Gun,HAS_GENRE,Crime
The Naked Gun,HAS_CAST,Leslie Nielsen
Stripes,HAS_GENRE,Action
Stripes,HAS_GENRE,Comedy
Stripes,HAS_CAST,Bill Murray
Airplane!,HAS_GENRE,Comedy
Airplane!,HAS_CAST,Leslie Nielsen
Caddyshack,HAS_GENRE,Comedy
Caddyshack,HAS_CAST,Chevy Chase
Caddyshack,HAS_CAST,Rodney Dangerfield
Caddyshack,HAS_CAST,Bill Murray
Happy Gilmore,HAS_GENRE,Comedy
Happy Gilmore,HAS_CAST,Adam Sandler
Happy Gilmore,HAS_CAST,Carl Weathers
Jack Reacher: Never Go Back,HAS_GENRE,Action
Jack Reacher: Never Go Back,HAS_GENRE,Thriller
Jack Reacher: Never Go Back,HAS_CAST,Tom Cruise
This Means War,HAS_GENRE,Action
This Means War,HAS_GENRE,Comedy
This Means War,HAS_GENRE,Romance
This Means War,HAS_CAST,Reese Witherspoon
This Means War,HAS_CAST,Chris Pine
This Means War,HAS_CAST,Tom Hardy
Mission: Impossible,HAS_GENRE,Action
Mission: Impossible,HAS_GENRE,Thriller
Mission: Impossible,HAS_CAST,Tom Cruise
Mission: Impossible,HAS_CAST,Simon Pegg
Cocktail,HAS_GENRE,Romance
Cocktail,HAS_GENRE,Drama
Cocktail,HAS_GENRE,Comedy
Cocktail,HAS_CAST,Tom Cruise
Unbreakable,HAS_GENRE,Thriller
Unbreakable,HAS_GENRE,Drama
Unbreakable,HAS_GENRE,Mystery
Unbreakable,HAS_CAST,Bruce Willis
Unbreakable,HAS_CAST,Robin Wright
Unbreakable,HAS_DIRECTOR,M. Night Shyamalan
Unbreakable,HAS_WRITER,M. Night Shyamalan
The Number 23,HAS_GENRE,Thriller
The Number 23,HAS_GENRE,Mystery
The Number 23,HAS_GENRE,Crime
The Number 23,HAS_CAST,Jim Carrey
The Number 23,HAS_CAST,Danny Huston
The BFG,HAS_GENRE,Adventure
The BFG,HAS_GENRE,Family
The BFG,HAS_GENRE,Fantasy
The BFG,HAS_CAST,Mark Rylance
The BFG,HAS_CAST,Bill Hader
The BFG,HAS_DIRECTOR,Steven Spielberg
Minority Report,HAS_GENRE,Science Fiction
Minority Report,HAS_GENRE,Action
Minority Report,HAS_GENRE,Thriller
Minority Report,HAS_CAST,Tom Cruise
Minority Report,HAS_CAST,Colin Farrell
Minority Report,HAS_DIRECTOR,Steven Spielberg
Bride Wars,HAS_GENRE,Comedy
Bride Wars,HAS_GENRE,Romance
Bride Wars,HAS_CAST,Kate Hudson
Bride Wars,HAS_CAST,Anne Hathaway
Bride Wars,HAS_CAST,Chris Pratt
Spaceballs,HAS_GENRE,Comedy
Spaceballs,HAS_GENRE,Science Fiction
Spaceballs,HAS_CAST,Rick Moranis
Spaceballs,HAS_CAST,Mel Brooks
Spaceballs,HAS_CAST,John Candy
Spaceballs,HAS_DIRECTOR,Mel Brooks
Office Christmas Party,HAS_GENRE,Comedy
Office Christmas Party,HAS_CAST,Jason Bateman
Office Christmas Party,HAS_CAST,Jennifer Aniston
Office Christmas Party,HAS_CAST,Kate McKinnon
Yes Man,HAS_GENRE,Comedy
Yes Man,HAS_GENRE,Romance
Yes Man,HAS_CAST,Jim Carrey
Yes Man,HAS_CAST,Zooey Deschanel
Yes Man,HAS_CAST,Bradley Cooper
Get Hard,HAS_GENRE,Comedy
Get Hard,HAS_CAST,Will Ferrell
Get Hard,HAS_CAST,Kevin Hart
Night of the Living Dead,HAS_GENRE,Horror
Not Another Teen Movie,HAS_GENRE,Comedy
Not Another Teen Movie,HAS_CAST,Chris Evans
Little Man,HAS_GENRE,Comedy
Little Man,HAS_GENRE,Crime
Goodfellas,HAS_GENRE,Drama
Goodfellas,HAS_GENRE,Crime
Goodfellas,HAS_CAST,Ray Liotta
Goodfellas,HAS_CAST,Robert De Niro
Goodfellas,HAS_CAST,Joe Pesci
Goodfellas,HAS_DIRECTOR,Martin Scorsese
The Hangover Part II,HAS_GENRE,Comedy
The Hangover Part II,HAS_CAST,Bradley Cooper
The Hangover Part II,HAS_CAST,Ed Helms
The Hangover Part II,HAS_CAST,Zach Galifianakis
The Hangover Part II,HAS_CAST,Justin Bartha
Savages,HAS_GENRE,Crime
Savages,HAS_GENRE,Drama
Savages,HAS_GENRE,Thriller
Savages,HAS_CAST,Taylor Kitsch
Savages,HAS_CAST,Blake Lively
Savages,HAS_CAST,John Travolta
Savages,HAS_CAST,Salma Hayek Pinault
Savages,HAS_DIRECTOR,Oliver Stone
Down and Out in Beverly Hills,HAS_GENRE,Comedy
Down and Out in Beverly Hills,HAS_CAST,Nick Nolte
Down and Out in Beverly Hills,HAS_CAST,Bette Midler
Down and Out in Beverly Hills,HAS_CAST,Richard Dreyfuss
Super Troopers,HAS_GENRE,Comedy
Super Troopers,HAS_GENRE,Crime
Super Troopers,HAS_GENRE,Mystery
Super Troopers,HAS_CAST,Brian Cox
The Conjuring,HAS_GENRE,Horror
The Conjuring,HAS_GENRE,Thriller
The Conjuring,HAS_CAST,Patrick Wilson
The Conjuring,HAS_CAST,Ron Livingston
The Conjuring,HAS_DIRECTOR,James Wan
Dolls,HAS_GENRE,Fantasy
Dolls,HAS_GENRE,Horror
Halloween: Resurrection,HAS_GENRE,Horror
Halloween: Resurrection,HAS_GENRE,Thriller
Halloween: Resurrection,HAS_CAST,Jamie Lee Curtis
It,HAS_GENRE,Horror
It,HAS_GENRE,Fantasy
Child's Play,HAS_GENRE,Horror
Child's Play,HAS_CAST,Chris Sarandon
The Silence of the Lambs,HAS_GENRE,Crime
The Silence of the Lambs,HAS_GENRE,Drama
The Silence of the Lambs,HAS_GENRE,Thriller
The Silence of the Lambs,HAS_CAST,Jodie Foster
The Silence of the Lambs,HAS_CAST,Anthony Hopkins
Halloween,HAS_GENRE,Horror
Halloween,HAS_GENRE,Thriller
Halloween,HAS_CAST,Jamie Lee Curtis
Halloween,HAS_DIRECTOR,John Carpenter
Curse of Chucky,HAS_GENRE,Horror
Curse of Chucky,HAS_GENRE,Thriller
Fargo,HAS_GENRE,Crime
Fargo,HAS_GENRE,Drama
Fargo,HAS_GENRE,Thriller
Fargo,HAS_CAST,Steve Buscemi
Legally Blonde,HAS_GENRE,Comedy
Legally Blonde,HAS_GENRE,Romance
Legally Blonde,HAS_CAST,Reese Witherspoon
Legally Blonde,HAS_CAST,Luke Wilson
Barton Fink,HAS_GENRE,Comedy
Barton Fink,HAS_GENRE,Drama
Barton Fink,HAS_CAST,John Goodman
The Big Lebowski,HAS_GENRE,Comedy
The Big Lebowski,HAS_GENRE,Crime
The Big Lebowski,HAS_CAST,Jeff Bridges
The Big Lebowski,HAS_CAST,John Goodman
The Big Lebowski,HAS_CAST,Steve Buscemi
The Big Lebowski,HAS_CAST,Julianne Moore
Remember the Titans,HAS_GENRE,Drama
Remember the Titans,HAS_CAST,Denzel Washington
Soul Surfer,HAS_GENRE,Family
Soul Surfer,HAS_GENRE,Drama
Soul Surfer,HAS_CAST,Helen Hunt
Soul Surfer,HAS_CAST,Dennis Quaid
Blue Crush,HAS_GENRE,Adventure
Blue Crush,HAS_GENRE,Romance
Blue Crush,HAS_GENRE,Drama
Blue Crush,HAS_CAST,Kate Bosworth
Blue Crush,HAS_CAST,Michelle Rodriguez
The Texas Chain Saw Massacre,HAS_GENRE,Horror
Big Fish,HAS_GENRE,Adventure
Big Fish,HAS_GENRE,Fantasy
Big Fish,HAS_GENRE,Drama
Big Fish,HAS_DIRECTOR,Tim Burton
Beerfest,HAS_GENRE,Comedy
Pan's Labyrinth,HAS_GENRE,Fantasy
Pan's Labyrinth,HAS_GENRE,Drama
Pan's Labyrinth,HAS_GENRE,War
Pan's Labyrinth,HAS_DIRECTOR,Guillermo del Toro
Club Dread,HAS_GENRE,Comedy
Club Dread,HAS_GENRE,Horror
Strangers on a Train,HAS_GENRE,Crime
Strangers on a Train,HAS_GENRE,Thriller
Strangers on a Train,HAS_DIRECTOR,Alfred Hitchcock
A Nightmare on Elm Street,HAS_GENRE,Horror
A Nightmare on Elm Street,HAS_DIRECTOR,Wes Craven
